Driver_ID,Driver_Rating,Vehicle_ID,Join_Date,City_Zone
D0104,3.84,V0026,2023-07-13,Navi Mumbai
D0105,4.22,V0185,2025-10-22,North
D0106,4.67,V0214,2021-12-04,Central
D0107,4.09,V0066,2024-12-27,Central
D0108,4.57,V0167,2024-11-12,Central
D0109,4.81,V0180,2025-11-16,West
D0110,4.2,V0242,2021-12-20,Navi Mumbai
D0111,3.82,V0084,2025-10-10,North
D0112,3.77,V0085,2022-12-15,North
D0113,4.97,V0234,2024-08-05,Navi Mumbai
D0114,3.98,V0201,2023-01-19,North
D0115,4.11,V0207,2025-02-27,North
D0116,3.63,V0096,2025-07-26,West
D0117,3.72,V0001,2024-02-28,West
D0118,4.13,V0082,2022-02-08,North
D0119,4.82,V0076,2023-05-02,West
D0120,4.39,V0101,2025-03-20,West
D0121,4.36,V0139,2023-09-23,Navi Mumbai
D0122,4.54,V0079,2023-01-30,Navi Mumbai
D0123,4.37,V0012,2025-02-07,Central
D0124,3.68,V0294,2022-07-29,North
D0125,3.64,V0237,2023-04-04,North
D0126,4.93,V0199,2023-10-29,Navi Mumbai
D0127,4.58,V0015,2025-03-21,Central
D0128,3.63,V0081,2022-11-22,Central
D0129,4.51,V0274,2022-03-29,Central
D0130,3.66,V0090,2024-07-18,North
D0131,4.66,V0183,2025-02-27,West
D0132,4.79,V0035,2025-07-14,Navi Mumbai
D0133,4.42,V0174,2025-10-17,Navi Mumbai
D0134,4.65,V0282,2025-10-24,North
D0135,4.41,V0248,2024-08-07,North
D0136,4.74,V0287,2023-01-01,Central
D0137,4.56,V0151,2022-04-22,West
D0138,4.15,V0068,2022-08-12,West
D0139,3.84,V0138,2025-09-14,North
D0140,3.84,V0237,2024-11-26,Central
D0141,3.98,V0148,2025-02-10,Central
D0142,4.09,V0187,2022-01-17,West
D0143,4.03,V0087,2025-09-21,North
D0144,4.61,V0050,2022-08-29,Navi Mumbai
D0145,4.96,V0256,2024-02-23,Navi Mumbai
D0146,4.13,V0007,2025-04-20,West
D0147,4.48,V0258,2023-11-14,Central
D0148,4.87,V0036,2022-09-18,North
D0149,4.08,V0162,2022-07-20,North
D0150,3.51,V0073,2025-07-21,Navi Mumbai
D0151,4.76,V0142,2022-06-01,Central
D0152,4.73,V0242,2025-10-16,West
D0153,4.92,V0190,2023-10-04,North
D0154,3.72,V0161,2022-06-02,Navi Mumbai
D0155,3.82,V0041,2023-02-25,Navi Mumbai
D0156,3.67,V0204,2023-02-27,North
D0157,4.87,V0136,2023-01-05,Central
D0158,3.65,V0236,2023-02-03,West
D0159,4.74,V0184,2025-02-25,Navi Mumbai
D0160,3.59,V0203,2024-03-03,North
D0161,4.41,V0024,2024-08-31,West
D0162,3.56,V0147,2024-06-18,Navi Mumbai
D0163,4.17,V0187,2022-01-10,Navi Mumbai
D0164,4.97,V0042,2024-03-19,Navi Mumbai
D0165,4.88,V0240,2022-11-22,West
D0166,4.49,V0222,2022-09-08,West
D0167,3.73,V0127,2025-11-13,North
D0168,3.75,V0248,2022-10-07,North
D0169,4.45,V0107,2025-01-22,Central
D0170,3.52,V0248,2023-05-24,North
D0171,4.64,V0065,2025-07-09,Central
D0172,4.06,V0018,2025-01-16,Navi Mumbai
D0173,4.8,V0287,2025-10-19,West
D0174,4.18,V0284,2023-08-17,Central
D0175,4.28,V0226,2022-12-23,North
D0176,4.81,V0277,2022-05-28,West
D0177,4.09,V0294,2025-03-04,North
D0178,4.63,V0060,2022-07-06,Navi Mumbai
D0179,4.12,V0157,2021-11-25,Central
D0180,4.4,V0075,2024-07-30,West
D0181,4.73,V0088,2024-11-12,North
D0182,4.11,V0030,2022-06-09,Navi Mumbai
D0183,4.04,V0185,2022-07-28,Navi Mumbai
D0184,4.39,V0202,2024-09-30,West
D0185,4.59,V0039,2023-06-03,Central
D0186,3.81,V0294,2025-05-25,West
D0187,4.72,V0293,2023-01-13,Central
D0188,3.84,V0091,2024-03-21,Central
D0189,3.83,V0283,2022-12-30,Central
D0190,3.6,V0261,2023-02-02,Central
D0191,4.5,V0299,2022-12-22,Central
D0192,4.53,V0007,2024-05-31,North
D0193,4.81,V0017,2023-01-11,Central
D0194,4.78,V0157,2023-03-12,North
D0195,3.88,V0224,2022-11-26,Navi Mumbai
D0196,4.33,V0088,2022-09-16,Central
D0197,4.08,V0252,2025-03-31,Central
D0198,4.74,V0134,2023-01-31,West
D0199,4.68,V0159,2022-12-30,North
D0200,3.91,V0110,2024-06-10,Central
D0201,5.0,V0111,2022-12-08,Central
D0202,4.12,V0248,2025-07-30,West
D0203,3.79,V0293,2025-10-21,North
D0204,4.92,V0087,2023-10-18,West
D0205,3.99,V0188,2023-04-16,Central
D0206,3.99,V0209,2023-02-09,North
D0207,3.89,V0233,2022-03-26,Central
D0208,3.61,V0129,2023-07-24,Central
D0209,4.66,V0256,2022-02-02,West
D0210,4.14,V0215,2024-07-22,Central
D0211,3.55,V0111,2023-05-18,North
D0212,4.84,V0182,2025-02-12,West
D0213,4.53,V0052,2024-05-12,Navi Mumbai
D0214,4.39,V0026,2022-10-22,West
D0215,4.02,V0111,2022-10-05,Central
D0216,4.52,V0087,2025-01-03,Navi Mumbai
D0217,3.62,V0087,2024-03-19,North
D0218,3.73,V0122,2025-03-15,Central
D0219,4.05,V0087,2023-05-31,West
D0220,4.86,V0019,2025-08-20,North
D0221,4.87,V0098,2025-08-08,West
D0222,4.04,V0205,2024-08-10,West
D0223,3.77,V0271,2021-12-28,North
D0224,4.49,V0299,2025-03-03,West
D0225,3.61,V0171,2022-08-26,Navi Mumbai
D0226,4.53,V0234,2022-12-02,West
D0227,4.15,V0161,2024-12-09,West
D0228,4.26,V0226,2024-09-27,North
D0229,3.74,V0073,2025-08-22,Central
D0230,4.22,V0019,2024-07-11,Central
D0231,4.36,V0046,2023-04-03,West
D0232,4.57,V0211,2023-06-12,Navi Mumbai
D0233,4.03,V0189,2023-02-14,Navi Mumbai
D0234,3.5,V0270,2022-03-09,Central
D0235,4.86,V0049,2023-11-19,Navi Mumbai
D0236,3.79,V0128,2023-06-05,Central
D0237,4.51,V0034,2024-12-08,Navi Mumbai
D0238,4.84,V0077,2023-09-30,West
D0239,4.22,V0087,2023-10-25,Central
D0240,4.78,V0060,2025-08-04,Navi Mumbai
D0241,4.25,V0166,2024-03-06,North
D0242,4.5,V0144,2024-06-06,North
D0243,4.49,V0099,2023-06-14,Navi Mumbai
D0244,4.84,V0201,2022-10-23,Central
D0245,3.66,V0254,2025-04-04,Central
D0246,4.02,V0056,2023-09-20,North
D0247,4.7,V0218,2023-12-20,Central
D0248,3.95,V0129,2024-06-13,West
D0249,4.37,V0107,2025-11-10,West
D0250,4.66,V0085,2021-12-22,Navi Mumbai
D0251,4.92,V0257,2022-09-01,Central
D0252,3.55,V0024,2023-06-02,West
D0253,3.93,V0152,2024-03-16,Navi Mumbai
D0254,4.88,V0051,2023-05-10,Navi Mumbai
D0255,3.53,V0132,2024-02-17,Navi Mumbai
D0256,4.06,V0091,2024-06-23,North
D0257,4.79,V0028,2025-02-13,Navi Mumbai
D0258,3.54,V0106,2025-11-17,North
D0259,4.29,V0086,2025-06-07,Central
D0260,3.81,V0243,2025-11-23,North
D0261,4.84,V0143,2022-10-13,Central
D0262,4.99,V0291,2025-04-14,Navi Mumbai
D0263,3.88,V0230,2024-05-17,Navi Mumbai
D0264,3.9,V0295,2024-12-14,Navi Mumbai
D0265,4.55,V0057,2022-04-29,Central
D0266,3.77,V0025,2022-12-22,North
D0267,3.68,V0185,2023-04-01,West
D0268,4.59,V0264,2024-09-06,North
D0269,3.75,V0046,2025-07-15,West
D0270,4.68,V0192,2022-11-04,Central
D0271,4.79,V0283,2023-04-09,Central
D0272,3.89,V0010,2023-08-23,North
D0273,4.71,V0209,2023-03-10,Navi Mumbai
D0274,4.32,V0150,2022-02-01,West
D0275,4.35,V0278,2025-11-02,West
D0276,4.52,V0093,2023-06-30,Navi Mumbai
D0277,3.52,V0057,2023-02-02,Central
D0278,3.89,V0156,2025-08-03,Central
D0279,3.74,V0182,2025-07-13,North
D0280,4.05,V0015,2025-03-02,West
D0281,4.4,V0188,2024-05-04,Central
D0282,3.88,V0059,2025-11-03,Navi Mumbai
D0283,3.59,V0054,2024-06-12,West
D0284,3.7,V0230,2023-01-31,West
D0285,4.62,V0294,2023-03-31,Central
D0286,4.27,V0018,2022-07-07,West
D0287,4.66,V0093,2025-11-28,Central
D0288,4.81,V0081,2023-04-01,Central
D0289,3.58,V0224,2024-07-29,North
D0290,4.66,V0125,2023-07-13,Central
D0291,4.35,V0022,2024-11-08,North
D0292,4.31,V0050,2022-03-24,West
D0293,3.74,V0295,2023-03-23,Navi Mumbai
D0294,3.88,V0239,2025-03-13,West
D0295,4.48,V0056,2024-01-24,North
D0296,3.84,V0033,2022-02-16,North
D0297,3.93,V0045,2022-09-28,North
D0298,4.9,V0210,2022-11-04,West
D0299,3.8,V0019,2025-05-06,West
D0300,3.57,V0269,2024-08-31,West
