Trip_ID,Date,Pickup_Time,Pickup_Location_ID,Pickup_Location,Drop_Location_ID,Drop_Location,Driver_ID,Vehicle_ID,Trip_Status,Fare,Distance_KM,Duration_Minutes,Payment_Type,Cancellation_Reason
T000065,2026-03-21,22:50:00,L008,Ghatkopar,L004,Kurla,D0189,V0293,Cancelled,0.0,7.84,47,Wallet,Wrong pickup location
T000066,2026-04-18,22:52:00,L004,Kurla,L010,Nerul,D0071,V0129,Completed,151.58,6.18,41,UPI,
T000067,2026-05-13,20:18:00,L002,Bandra,L003,Powai,D0140,V0231,Cancelled,0.0,1.0,15,Cash,Driver cancelled
T000068,2026-03-31,21:26:00,L001,Andheri,L007,Borivali,D0258,V0192,Completed,138.43,6.41,52,Credit Card,
T000069,2026-01-26,20:41:00,L006,Dadar,L003,Powai,D0071,V0020,Completed,173.42,6.83,48,Debit Card,
T000070,2026-04-25,17:57:00,L002,Bandra,L001,Andheri,D0132,V0111,Completed,484.92,26.81,152,UPI,
T000071,2026-03-15,09:07:00,L001,Andheri,L004,Kurla,D0215,V0235,Completed,144.94,5.66,46,UPI,
T000072,2026-06-11,15:15:00,L012,Ghansoli,L003,Powai,D0150,V0220,Completed,173.89,8.08,51,UPI,
T000073,2026-05-15,22:04:00,L009,Vashi,L001,Andheri,D0200,V0241,Completed,241.64,13.66,74,UPI,
T000074,2026-04-02,19:22:00,L004,Kurla,L012,Ghansoli,D0054,V0298,Completed,210.48,10.83,54,Credit Card,
T000075,2026-06-14,08:49:00,L011,Airoli,L008,Ghatkopar,D0246,V0094,Completed,244.27,15.8,70,Cash,
T000076,2026-01-12,19:56:00,L001,Andheri,L006,Dadar,D0159,V0264,Completed,76.09,1.86,23,Cash,
T000077,2026-03-15,12:49:00,L001,Andheri,L011,Airoli,D0170,V0140,Completed,101.15,2.85,24,Debit Card,
T000078,2026-03-28,22:31:00,L012,Ghansoli,L008,Ghatkopar,D0189,V0266,Completed,102.8,4.18,27,Wallet,
T000079,2026-02-16,16:20:00,L002,Bandra,L006,Dadar,D0152,V0157,Completed,77.5,1.57,16,Credit Card,
T000080,2026-04-25,04:55:00,L006,Dadar,L010,Nerul,D0223,V0141,Completed,136.56,6.87,45,Debit Card,
T000081,2026-04-04,15:47:00,L011,Airoli,L003,Powai,D0016,V0074,Completed,87.45,3.05,29,UPI,
T000082,2026-03-02,19:23:00,L006,Dadar,L007,Borivali,D0291,V0017,Completed,306.09,17.1,105,UPI,
T000083,2026-05-27,07:23:00,L007,Borivali,L006,Dadar,D0143,V0128,Cancelled,0.0,3.46,19,Debit Card,Wrong pickup location
T000084,2026-01-31,09:16:00,L012,Ghansoli,L008,Ghatkopar,D0110,V0147,Completed,116.33,5.11,41,UPI,
T000085,2026-04-26,08:45:00,L008,Ghatkopar,L002,Bandra,D0164,V0178,Completed,265.22,11.25,67,Cash,
T000086,2026-06-29,17:50:00,L006,Dadar,L009,Vashi,D0115,V0063,Cancelled,0.0,2.24,21,UPI,Long waiting time
T000087,2026-05-22,16:29:00,L009,Vashi,L003,Powai,D0045,V0034,Completed,73.82,1.47,22,Debit Card,
T000088,2026-05-28,06:20:00,L011,Airoli,L002,Bandra,D0231,V0239,Completed,177.7,7.46,47,Cash,
T000089,2026-02-03,13:58:00,L001,Andheri,L002,Bandra,D0266,V0079,Completed,166.08,7.86,39,Wallet,
T000090,2026-03-14,20:16:00,L004,Kurla,L011,Airoli,D0283,V0141,Completed,190.6,11.03,62,Cash,
T000091,2026-06-01,21:09:00,L003,Powai,L011,Airoli,D0173,V0289,Completed,165.72,9.36,63,Wallet,
T000092,2026-03-09,17:49:00,L010,Nerul,L007,Borivali,D0016,V0255,Cancelled,0.0,8.06,56,Debit Card,Customer cancelled
T000093,2026-06-25,13:29:00,L002,Bandra,L012,Ghansoli,D0031,V0081,Completed,105.79,3.79,27,Cash,
T000094,2026-03-22,20:20:00,L012,Ghansoli,L006,Dadar,D0205,V0067,Completed,162.2,7.71,45,Debit Card,
T000095,2026-02-01,09:15:00,L003,Powai,L002,Bandra,D0026,V0149,Cancelled,0.0,8.04,60,Cash,Long waiting time
T000096,2026-05-28,18:12:00,L003,Powai,L008,Ghatkopar,D0264,V0240,Completed,96.81,3.68,21,Debit Card,
T000097,2026-05-10,14:15:00,L004,Kurla,L010,Nerul,D0181,V0025,Completed,399.86,20.13,115,Credit Card,
T000098,2026-05-18,00:06:00,L007,Borivali,L003,Powai,D0136,V0188,Completed,162.55,9.07,53,Wallet,
T000099,2026-02-19,12:18:00,L002,Bandra,L007,Borivali,D0259,V0231,Completed,100.41,2.89,27,UPI,
T000100,2026-02-02,22:25:00,L006,Dadar,L009,Vashi,D0188,V0074,Completed,186.4,11.07,69,UPI,
T000101,2026-02-05,18:51:00,L008,Ghatkopar,L009,Vashi,D0234,V0077,Completed,289.44,12.31,72,Credit Card,
T000102,2026-02-11,12:39:00,L012,Ghansoli,L005,Thane,D0173,V0260,Completed,175.41,8.71,58,UPI,
T000103,2026-04-05,11:07:00,L007,Borivali,L010,Nerul,D0158,V0014,Completed,149.17,5.43,38,Wallet,
T000104,2026-05-28,08:03:00,L010,Nerul,L008,Ghatkopar,D0088,V0269,Completed,96.8,3.55,30,Cash,
T000105,2026-01-09,16:44:00,L002,Bandra,L004,Kurla,D0010,V0226,Completed,144.3,6.17,32,Wallet,
T000106,2026-05-01,20:47:00,L012,Ghansoli,L001,Andheri,D0071,V0266,Completed,181.36,8.3,52,Debit Card,
T000107,2026-03-22,22:29:00,L009,Vashi,L006,Dadar,D0280,V0182,Completed,163.17,6.6,55,Credit Card,
T000108,2026-06-06,15:15:00,L005,Thane,L009,Vashi,D0153,V0116,Cancelled,0.0,16.24,114,Debit Card,Long waiting time
T000109,2026-05-03,11:59:00,L012,Ghansoli,L005,Thane,D0148,V0063,Completed,235.66,10.01,62,Cash,
T000110,2026-03-16,04:45:00,L002,Bandra,L006,Dadar,D0227,V0132,Completed,95.77,3.23,26,Wallet,
T000111,2026-06-28,09:06:00,L010,Nerul,L012,Ghansoli,D0123,V0125,Completed,94.98,2.63,24,UPI,
T000112,2026-01-26,13:45:00,L008,Ghatkopar,L002,Bandra,D0071,V0003,Cancelled,0.0,9.12,66,Debit Card,Driver cancelled
T000113,2026-06-16,08:18:00,L006,Dadar,L005,Thane,D0031,V0046,Completed,156.57,5.52,28,Cash,
T000114,2026-04-17,20:11:00,L001,Andheri,L007,Borivali,D0254,V0096,Cancelled,0.0,10.58,77,UPI,Long waiting time
T000115,2026-05-26,17:59:00,L006,Dadar,L005,Thane,D0233,V0279,Completed,220.59,9.07,63,Debit Card,
T000116,2026-03-11,08:07:00,L006,Dadar,L003,Powai,D0235,V0132,Completed,163.44,6.19,32,Wallet,
T000117,2026-06-22,19:11:00,L010,Nerul,L011,Airoli,D0208,V0219,Completed,91.61,3.26,27,Cash,
T000118,2026-05-03,11:15:00,L001,Andheri,L005,Thane,D0197,V0121,Completed,73.64,1.64,17,Wallet,
T000119,2026-01-03,09:23:00,L012,Ghansoli,L004,Kurla,D0032,V0061,Completed,171.91,7.61,45,Credit Card,
T000120,2026-06-26,07:58:00,L005,Thane,L006,Dadar,D0114,V0113,Cancelled,0.0,2.2,23,Wallet,Long waiting time
T000121,2026-04-17,18:58:00,L008,Ghatkopar,L009,Vashi,D0112,V0127,Completed,101.04,3.15,23,Wallet,
T000122,2026-06-30,12:58:00,L010,Nerul,L002,Bandra,D0032,V0281,Cancelled,0.0,7.3,43,Credit Card,Wrong pickup location
T000123,2026-04-24,07:13:00,L012,Ghansoli,L010,Nerul,D0251,V0047,Cancelled,0.0,6.82,38,Wallet,Driver cancelled
T000124,2026-04-27,16:35:00,L008,Ghatkopar,L011,Airoli,D0158,V0012,Completed,90.73,2.45,23,UPI,
T000125,2026-04-19,11:04:00,L009,Vashi,L001,Andheri,D0036,V0242,Completed,289.27,13.2,69,Debit Card,
T000126,2026-04-06,23:24:00,L008,Ghatkopar,L007,Borivali,D0193,V0042,Completed,219.57,12.98,84,Credit Card,
T000127,2026-01-31,08:34:00,L007,Borivali,L009,Vashi,D0066,V0115,Completed,196.36,9.32,63,Wallet,
T000128,2026-04-19,16:52:00,L004,Kurla,L008,Ghatkopar,D0178,V0080,Completed,164.12,9.31,65,Debit Card,
T000129,2026-06-07,19:56:00,L001,Andheri,L004,Kurla,D0106,V0035,Completed,211.95,9.32,48,UPI,
T000130,2026-03-04,18:25:00,L008,Ghatkopar,L004,Kurla,D0277,V0112,Completed,246.22,12.24,78,Credit Card,
T000131,2026-03-01,19:46:00,L010,Nerul,L006,Dadar,D0296,V0165,Completed,214.45,10.17,77,Debit Card,
T000132,2026-03-18,09:35:00,L010,Nerul,L012,Ghansoli,D0090,V0219,Completed,118.17,3.49,23,Debit Card,
T000133,2026-05-15,11:26:00,L007,Borivali,L003,Powai,D0154,V0193,Completed,152.81,5.47,36,Credit Card,
T000134,2026-02-06,19:58:00,L001,Andheri,L009,Vashi,D0212,V0214,Completed,401.42,25.03,106,Credit Card,
T000135,2026-06-15,06:28:00,L006,Dadar,L002,Bandra,D0275,V0098,Completed,67.66,1.05,19,UPI,
T000136,2026-02-18,19:37:00,L012,Ghansoli,L011,Airoli,D0287,V0112,Completed,115.35,4.53,38,UPI,
T000137,2026-02-24,21:47:00,L002,Bandra,L012,Ghansoli,D0246,V0125,Completed,306.0,13.25,85,Wallet,
T000138,2026-03-24,19:24:00,L008,Ghatkopar,L009,Vashi,D0184,V0158,Completed,107.88,3.68,31,Debit Card,
T000139,2026-03-23,21:23:00,L006,Dadar,L007,Borivali,D0024,V0289,Completed,195.79,10.35,64,Wallet,
T000140,2026-05-29,18:18:00,L003,Powai,L004,Kurla,D0169,V0118,Completed,160.73,6.75,53,Credit Card,
T000141,2026-03-07,19:31:00,L012,Ghansoli,L011,Airoli,D0252,V0236,Completed,101.04,3.89,30,Wallet,
T000142,2026-05-06,08:56:00,L009,Vashi,L011,Airoli,D0031,V0269,Completed,62.39,1.0,21,UPI,
T000143,2026-04-16,07:40:00,L004,Kurla,L002,Bandra,D0078,V0005,Completed,176.56,7.47,41,Wallet,
T000144,2026-05-04,18:01:00,L001,Andheri,L009,Vashi,D0283,V0211,Completed,105.86,3.43,26,Credit Card,
T000145,2026-01-05,15:44:00,L011,Airoli,L007,Borivali,D0092,V0055,Cancelled,0.0,6.0,38,Wallet,Long waiting time
T000146,2026-04-01,09:25:00,L002,Bandra,L006,Dadar,D0208,V0236,Completed,183.34,9.26,68,UPI,
T000147,2026-06-17,23:41:00,L001,Andheri,L002,Bandra,D0208,V0195,Completed,190.2,11.61,72,Cash,
T000148,2026-01-22,15:27:00,L011,Airoli,L006,Dadar,D0290,V0049,Cancelled,0.0,4.52,36,Wallet,Driver cancelled
T000149,2026-03-11,04:04:00,L011,Airoli,L005,Thane,D0279,V0289,Completed,97.05,3.88,26,Cash,
T000150,2026-05-31,07:52:00,L012,Ghansoli,L007,Borivali,D0040,V0154,Completed,87.79,2.17,20,Wallet,
T000151,2026-03-26,12:47:00,L003,Powai,L012,Ghansoli,D0041,V0257,Completed,235.65,11.98,60,UPI,
T000152,2026-03-29,17:39:00,L010,Nerul,L007,Borivali,D0168,V0016,Completed,413.72,22.84,146,Credit Card,
T000153,2026-05-22,21:27:00,L003,Powai,L011,Airoli,D0300,V0195,Completed,276.98,12.82,77,UPI,
T000154,2026-03-10,07:45:00,L011,Airoli,L003,Powai,D0200,V0163,Completed,278.08,14.66,64,Credit Card,
T000155,2026-01-27,07:11:00,L007,Borivali,L008,Ghatkopar,D0286,V0285,Completed,104.88,3.7,20,UPI,
T000156,2026-06-02,17:20:00,L007,Borivali,L001,Andheri,D0150,V0212,Completed,221.06,8.89,46,Cash,
T000157,2026-05-27,16:43:00,L007,Borivali,L003,Powai,D0072,V0138,Completed,196.45,10.98,61,Credit Card,
T000158,2026-04-18,10:50:00,L002,Bandra,L006,Dadar,D0129,V0127,Completed,63.56,1.0,19,UPI,
T000159,2026-02-04,10:25:00,L006,Dadar,L010,Nerul,D0195,V0169,Completed,104.63,2.76,28,Cash,
T000160,2026-03-18,11:44:00,L004,Kurla,L008,Ghatkopar,D0161,V0091,Cancelled,0.0,17.86,123,Debit Card,Wrong pickup location
T000161,2026-03-04,11:17:00,L007,Borivali,L006,Dadar,D0059,V0289,Completed,81.42,1.8,19,Wallet,
T000162,2026-01-07,22:29:00,L012,Ghansoli,L004,Kurla,D0225,V0150,Completed,330.4,16.13,71,Cash,
T000163,2026-06-12,10:16:00,L011,Airoli,L003,Powai,D0217,V0194,Completed,79.82,1.79,24,Wallet,
T000164,2026-05-10,21:55:00,L012,Ghansoli,L007,Borivali,D0279,V0019,Completed,98.07,2.87,26,UPI,
T000165,2026-01-28,19:42:00,L011,Airoli,L006,Dadar,D0086,V0023,Completed,186.77,9.0,64,Credit Card,
T000166,2026-04-21,07:06:00,L005,Thane,L004,Kurla,D0262,V0266,Completed,156.94,6.87,46,Debit Card,
T000167,2026-04-29,19:37:00,L012,Ghansoli,L009,Vashi,D0078,V0177,Cancelled,0.0,4.86,33,UPI,Driver unavailable
T000168,2026-02-06,11:21:00,L008,Ghatkopar,L004,Kurla,D0267,V0248,Completed,303.63,17.43,78,Credit Card,
T000169,2026-01-12,19:07:00,L001,Andheri,L006,Dadar,D0056,V0085,Cancelled,0.0,2.22,26,Cash,Long waiting time
T000170,2026-05-24,13:29:00,L004,Kurla,L007,Borivali,D0095,V0096,Completed,154.35,5.83,33,Cash,
T000171,2026-04-26,17:24:00,L001,Andheri,L012,Ghansoli,D0110,V0106,Completed,212.37,9.77,61,Wallet,
T000172,2026-02-17,12:12:00,L008,Ghatkopar,L002,Bandra,D0135,V0251,Completed,170.42,7.97,57,Debit Card,
T000173,2026-05-31,07:22:00,L008,Ghatkopar,L010,Nerul,D0089,V0153,Cancelled,0.0,3.99,36,UPI,Customer cancelled
T000174,2026-03-20,07:23:00,L012,Ghansoli,L003,Powai,D0262,V0199,Completed,113.08,4.1,27,Debit Card,
T000175,2026-06-12,16:58:00,L011,Airoli,L003,Powai,D0285,V0086,Completed,265.46,11.5,55,Wallet,
T000176,2026-01-14,20:00:00,L008,Ghatkopar,L003,Powai,D0100,V0197,Cancelled,0.0,11.85,71,Debit Card,Driver cancelled
T000177,2026-04-24,15:05:00,L010,Nerul,L001,Andheri,D0113,V0150,Completed,158.37,8.12,43,Debit Card,
T000178,2026-05-25,18:49:00,L008,Ghatkopar,L009,Vashi,D0262,V0058,Completed,111.71,3.32,27,Credit Card,
T000179,2026-05-19,19:02:00,L012,Ghansoli,L008,Ghatkopar,D0280,V0112,Cancelled,0.0,4.2,31,Credit Card,Driver unavailable
T000180,2026-04-26,09:55:00,L002,Bandra,L008,Ghatkopar,D0061,V0122,Completed,171.45,6.43,47,Wallet,
T000181,2026-06-11,13:39:00,L003,Powai,L004,Kurla,D0106,V0031,Completed,165.97,7.11,50,Credit Card,
T000182,2026-06-30,10:36:00,L005,Thane,L009,Vashi,D0049,V0070,Cancelled,0.0,9.51,61,Cash,Customer cancelled
T000183,2026-03-05,07:20:00,L004,Kurla,L011,Airoli,D0202,V0251,Completed,135.91,5.61,45,Debit Card,
T000184,2026-01-20,17:56:00,L002,Bandra,L007,Borivali,D0264,V0143,Completed,272.09,11.33,81,Credit Card,
T000185,2026-05-29,00:49:00,L012,Ghansoli,L002,Bandra,D0235,V0184,Completed,204.6,11.25,77,Debit Card,
T000186,2026-02-24,15:20:00,L005,Thane,L006,Dadar,D0281,V0296,Completed,336.92,14.98,101,UPI,
T000187,2026-01-12,06:50:00,L008,Ghatkopar,L001,Andheri,D0064,V0081,Completed,140.29,6.63,34,Cash,
T000188,2026-06-16,10:55:00,L005,Thane,L002,Bandra,D0185,V0129,Completed,159.39,8.21,60,Debit Card,
T000189,2026-06-10,10:44:00,L004,Kurla,L007,Borivali,D0047,V0049,Completed,149.32,5.93,36,Wallet,
T000190,2026-06-24,14:00:00,L012,Ghansoli,L006,Dadar,D0062,V0217,Completed,100.47,3.35,25,UPI,
T000191,2026-01-27,10:56:00,L005,Thane,L003,Powai,D0196,V0069,Completed,415.82,22.52,131,UPI,
T000192,2026-06-06,17:28:00,L006,Dadar,L012,Ghansoli,D0110,V0078,Cancelled,0.0,13.78,86,UPI,Driver unavailable
T000193,2026-02-05,19:37:00,L012,Ghansoli,L007,Borivali,D0180,V0220,Completed,240.44,11.1,53,Cash,
T000194,2026-05-22,17:46:00,L010,Nerul,L005,Thane,D0014,V0155,Completed,166.35,6.47,42,Credit Card,
T000195,2026-06-15,05:57:00,L004,Kurla,L008,Ghatkopar,D0198,V0058,Completed,100.46,3.11,23,UPI,
T000196,2026-04-03,21:08:00,L007,Borivali,L010,Nerul,D0216,V0188,Completed,293.29,12.39,62,UPI,
T000197,2026-01-05,17:00:00,L005,Thane,L004,Kurla,D0021,V0031,Cancelled,0.0,5.86,37,Wallet,Driver cancelled
T000198,2026-04-19,18:05:00,L011,Airoli,L009,Vashi,D0276,V0079,Completed,218.69,8.71,52,Cash,
T000199,2026-05-18,11:37:00,L011,Airoli,L002,Bandra,D0159,V0224,Completed,108.47,4.19,30,Debit Card,
T000200,2026-01-30,14:38:00,L001,Andheri,L005,Thane,D0090,V0062,Completed,153.56,7.78,35,Credit Card,
T000201,2026-05-14,15:52:00,L012,Ghansoli,L005,Thane,D0086,V0191,Completed,128.6,4.4,35,UPI,
T000202,2026-01-08,11:27:00,L005,Thane,L009,Vashi,D0033,V0135,Completed,122.34,4.53,30,Wallet,
T000203,2026-04-03,05:54:00,L010,Nerul,L003,Powai,D0189,V0081,Completed,184.1,7.71,43,UPI,
T000204,2026-02-28,18:00:00,L001,Andheri,L004,Kurla,D0024,V0242,Completed,84.43,1.77,18,UPI,
T000205,2026-05-22,19:45:00,L012,Ghansoli,L011,Airoli,D0215,V0115,Completed,76.21,1.85,19,UPI,
T000206,2026-05-27,12:32:00,L011,Airoli,L001,Andheri,D0092,V0115,Completed,95.94,3.66,35,Debit Card,
T000207,2026-03-14,19:19:00,L006,Dadar,L002,Bandra,D0284,V0234,Completed,151.61,5.56,37,Wallet,
T000208,2026-03-04,14:37:00,L008,Ghatkopar,L004,Kurla,D0280,V0126,Completed,210.13,11.55,78,Credit Card,
T000209,2026-06-12,20:56:00,L001,Andheri,L006,Dadar,D0001,V0193,Completed,129.12,5.8,39,Cash,
T000210,2026-04-18,15:03:00,L003,Powai,L012,Ghansoli,D0144,V0048,Completed,148.71,6.45,40,Credit Card,
T000211,2026-04-28,22:05:00,L010,Nerul,L002,Bandra,D0259,V0069,Completed,136.85,5.25,39,Debit Card,
T000212,2026-06-19,22:15:00,L005,Thane,L006,Dadar,D0202,V0168,Completed,210.3,8.2,41,Cash,
T000213,2026-05-30,07:06:00,L003,Powai,L008,Ghatkopar,D0239,V0161,Completed,101.84,3.32,25,Debit Card,
T000214,2026-03-09,20:05:00,L003,Powai,L011,Airoli,D0156,V0021,Completed,126.76,6.03,44,Cash,
T000215,2026-04-02,13:03:00,L011,Airoli,L005,Thane,D0134,V0090,Completed,192.27,8.65,53,Wallet,
T000216,2026-03-05,06:06:00,L003,Powai,L002,Bandra,D0007,V0032,Completed,154.06,7.66,56,Debit Card,
T000217,2026-04-06,18:41:00,L002,Bandra,L010,Nerul,D0133,V0039,Completed,152.46,6.59,39,Cash,
T000218,2026-01-24,21:53:00,L006,Dadar,L002,Bandra,D0022,V0237,Completed,173.51,6.65,53,Debit Card,
