Vehicle_ID,Vehicle_Type,Fuel_Type,Vehicle_Age
V0208,Hatchback,CNG,5
V0209,Sedan,CNG,4
V0210,Sedan,Petrol,5
V0211,Sedan,CNG,1
V0212,Sedan,CNG,7
V0213,SUV,Petrol,8
V0214,Hatchback,Electric,1
V0215,Sedan,Electric,1
V0216,Hatchback,Electric,7
V0217,Hatchback,CNG,3
V0218,Hatchback,CNG,7
V0219,Sedan,Petrol,8
V0220,Sedan,CNG,7
V0221,Sedan,CNG,5
V0222,Hatchback,CNG,1
V0223,SUV,Electric,1
V0224,Sedan,Petrol,2
V0225,SUV,Petrol,1
V0226,Hatchback,Petrol,1
V0227,SUV,Petrol,4
V0228,Hatchback,CNG,2
V0229,SUV,Petrol,8
V0230,SUV,CNG,6
V0231,Hatchback,Electric,2
V0232,Hatchback,CNG,2
V0233,SUV,Petrol,5
V0234,SUV,Electric,7
V0235,Sedan,Electric,4
V0236,Hatchback,Electric,4
V0237,Hatchback,Electric,5
V0238,SUV,Electric,2
V0239,SUV,Petrol,6
V0240,SUV,CNG,6
V0241,Hatchback,Electric,6
V0242,Hatchback,CNG,8
V0243,Hatchback,CNG,6
V0244,SUV,CNG,3
V0245,Sedan,Petrol,5
V0246,SUV,Electric,8
V0247,Sedan,CNG,5
V0248,Sedan,Petrol,2
V0249,Sedan,CNG,4
V0250,Sedan,Electric,7
V0251,Sedan,Petrol,8
V0252,Sedan,Petrol,8
V0253,Hatchback,CNG,5
V0254,Sedan,CNG,5
V0255,SUV,Petrol,4
V0256,Hatchback,Petrol,7
V0257,Sedan,Electric,4
V0258,SUV,CNG,8
V0259,Sedan,Petrol,2
V0260,Sedan,Petrol,7
V0261,SUV,Petrol,5
V0262,SUV,Electric,6
V0263,Sedan,Electric,6
V0264,Sedan,Electric,6
V0265,Sedan,Electric,8
V0266,Sedan,CNG,5
V0267,Hatchback,Petrol,4
V0268,Sedan,Petrol,3
V0269,Hatchback,Petrol,8
V0270,Sedan,Electric,5
V0271,Hatchback,Petrol,5
V0272,Hatchback,CNG,3
V0273,Sedan,Petrol,3
V0274,Sedan,Petrol,1
V0275,SUV,CNG,3
V0276,SUV,CNG,2
V0277,Hatchback,Electric,5
V0278,Sedan,CNG,8
V0279,Sedan,Petrol,1
V0280,Sedan,CNG,2
V0281,Hatchback,CNG,8
V0282,Hatchback,Electric,1
V0283,Hatchback,Petrol,5
V0284,Hatchback,Petrol,2
V0285,SUV,CNG,4
V0286,SUV,CNG,8
V0287,Sedan,CNG,7
V0288,Sedan,Electric,1
V0289,SUV,Electric,2
V0290,Hatchback,Electric,4
V0291,Sedan,Electric,2
V0292,Hatchback,Petrol,3
V0293,SUV,Petrol,3
V0294,Hatchback,CNG,8
V0295,SUV,Electric,8
V0296,Sedan,Petrol,4
V0297,Sedan,Electric,5
V0298,SUV,CNG,2
V0299,SUV,Petrol,5
V0300,SUV,Electric,4
